"","neighbourhood_cleansed","neighbourhood_group_cleansed","room_type","accommodates","price","review_scores_rating"
"1","Midtown","Manhattan","Entire home/apt",2,175,94
"2","Clinton Hill","Brooklyn","Entire home/apt",3,76,89
"3","Bedford-Stuyvesant","Brooklyn","Private room",2,60,90
"4","Sunset Park","Brooklyn","Entire home/apt",4,175,97
"5","Hell's Kitchen","Manhattan","Private room",2,79,84
"6","Upper West Side","Manhattan","Private room",1,75,98
"7","Chinatown","Manhattan","Entire home/apt",2,140,94
"8","West Village","Manhattan","Entire home/apt",2,160,97
"9","South Slope","Brooklyn","Private room",2,86,94
"10","Upper West Side","Manhattan","Private room",1,85,93
"11","Williamsburg","Brooklyn","Entire home/apt",3,109,91
"12","East Harlem","Manhattan","Entire home/apt",2,239.29,98
"13","Fort Greene","Brooklyn","Entire home/apt",4,182,97
"15","Williamsburg","Brooklyn","Entire home/apt",4,299,98
"16","Bedford-Stuyvesant","Brooklyn","Entire home/apt",5,120,95
"17","Windsor Terrace","Brooklyn","Private room",2,135,97
"19","East Village","Manhattan","Entire home/apt",3,175,94
"20","Bedford-Stuyvesant","Brooklyn","Private room",3,70,93
"21","South Slope","Brooklyn","Private room",2,86,95
"23","Lower East Side","Manhattan","Shared room",1,40,96
"24","East Village","Manhattan","Private room",2,40,88
"25","Harlem","Manhattan","Entire home/apt",3,150,96
"26","Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",2,95,97
"27","Long Island City","Queens","Private room",4,130,98
"28","Bedford-Stuyvesant","Brooklyn","Entire home/apt",2,100,89
"29","Bedford-Stuyvesant","Brooklyn","Entire home/apt",5,120,95
"30","Jamaica","Queens","Private room",4,75,83
"31","Williamsburg","Brooklyn","Entire home/apt",2,245,98
"32","Fort Greene","Brooklyn","Private room",2,80,94
"33","Chelsea","Manhattan","Private room",1,150,97
"34","Bedford-Stuyvesant","Brooklyn","Private room",2,81,93
"35","Williamsburg","Brooklyn","Entire home/apt",2,153,94
"36","Greenpoint","Brooklyn","Entire home/apt",4,150.43,97
"37","Kips Bay","Manhattan","Entire home/apt",1,200,96
"38","Lower East Side","Manhattan","Private room",1,110,98
"39","Hell's Kitchen","Manhattan","Private room",1,83,93
"40","Nolita","Manhattan","Entire home/apt",2,150,91
"41","Williamsburg","Brooklyn","Private room",1,90,97
"42","Chelsea","Manhattan","Entire home/apt",4,375,100
"43","Upper East Side","Manhattan","Entire home/apt",6,180,94
"44","East Village","Manhattan","Entire home/apt",2,130,87
"45","Prospect Heights","Brooklyn","Entire home/apt",8,100,99
"46","Clinton Hill","Brooklyn","Private room",2,55,92
"47","Park Slope","Brooklyn","Entire home/apt",4,250,100
"48","East Village","Manhattan","Private room",2,65,95
"49","Williamsburg","Brooklyn","Entire home/apt",3,199,94
"50","East Village","Manhattan","Private room",1,79,93
"51","East Harlem","Manhattan","Entire home/apt",8,325,97
"52","East Village","Manhattan","Entire home/apt",2,250,96
"53","Hell's Kitchen","Manhattan","Private room",1,55,90
"54","Washington Heights","Manhattan","Private room",2,65,98
"55","Clinton Hill","Brooklyn","Private room",2,75,99
"56","East Village","Manhattan","Entire home/apt",2,176,97
"57","Woodside","Queens","Private room",2,90,99
"58","Woodside","Queens","Private room",1,75,100
"59","Chelsea","Manhattan","Private room",3,150,99
"60","Williamsburg","Brooklyn","Private room",4,145,89
"61","Kips Bay","Manhattan","Private room",2,95,100
"62","Harlem","Manhattan","Entire home/apt",3,110,94
"63","Lower East Side","Manhattan","Entire home/apt",4,350,88
"64","Flatbush","Brooklyn","Entire home/apt",4,130,94
"66","Williamsburg","Brooklyn","Entire home/apt",2,105,90
"67","East Village","Manhattan","Private room",2,50,60
"68","Williamsburg","Brooklyn","Private room",2,85,94
"69","Prospect Heights","Brooklyn","Private room",2,85,98
"70","Bushwick","Brooklyn","Private room",2,50,86
"71","Clinton Hill","Brooklyn","Private room",3,98,89
"72","Williamsburg","Brooklyn","Entire home/apt",2,80,81
"73","Upper West Side","Manhattan","Entire home/apt",2,99,93
"74","Harlem","Manhattan","Private room",1,99,100
"75","Chelsea","Manhattan","Private room",2,85,99
"76","Carroll Gardens","Brooklyn","Entire home/apt",3,128,94
"77","Harlem","Manhattan","Entire home/apt",6,200,95
"78","West Village","Manhattan","Entire home/apt",5,419,88
"79","Williamsburg","Brooklyn","Private room",2,122,96
"80","Park Slope","Brooklyn","Entire home/apt",9,220,96
"81","Bedford-Stuyvesant","Brooklyn","Entire home/apt",6,110,92
"82","Williamsburg","Brooklyn","Entire home/apt",4,83,92
"83","Harlem","Manhattan","Private room",2,82,95
"84","Gowanus","Brooklyn","Entire home/apt",6,200,98
"85","Hell's Kitchen","Manhattan","Private room",1,69,91
"86","Clinton Hill","Brooklyn","Private room",3,98,96
"87","East Village","Manhattan","Entire home/apt",1,140,97
"88","South Slope","Brooklyn","Entire home/apt",3,120,99
"89","Williamsburg","Brooklyn","Entire home/apt",6,350,96
"90","Upper West Side","Manhattan","Entire home/apt",4,225,92
"91","Harlem","Manhattan","Entire home/apt",6,170,95
"92","South Slope","Brooklyn","Entire home/apt",9,250,95
"93","Upper West Side","Manhattan","Entire home/apt",2,170,92
"94","East Village","Manhattan","Entire home/apt",3,100,97
"95","Upper East Side","Manhattan","Entire home/apt",4,150,99
"96","Bedford-Stuyvesant","Brooklyn","Private room",2,70,93
"97","Harlem","Manhattan","Entire home/apt",4,100,92
"98","Clinton Hill","Brooklyn","Private room",2,89,98
"99","East Village","Manhattan","Entire home/apt",3,125,96
"100","Greenpoint","Brooklyn","Private room",2,49,98
"101","Hell's Kitchen","Manhattan","Private room",2,134,97
"102","West Village","Manhattan","Entire home/apt",2,65,94
"103","Flatlands","Brooklyn","Private room",2,80,87
"104","Clinton Hill","Brooklyn","Private room",2,80,90
"105","Bedford-Stuyvesant","Brooklyn","Entire home/apt",4,125,93
"106","Clinton Hill","Brooklyn","Private room",3,139,97
"107","SoHo","Manhattan","Entire home/apt",4,300,87
"108","Williamsburg","Brooklyn","Entire home/apt",3,199,100
"109","East Village","Manhattan","Entire home/apt",1,160,100
"110","Cobble Hill","Brooklyn","Entire home/apt",3,140,90
"111","Flushing","Queens","Private room",2,70,80
"112","Bedford-Stuyvesant","Brooklyn","Entire home/apt",6,115,92
"113","Williamsburg","Brooklyn","Entire home/apt",2,195,99
"114","East Village","Manhattan","Entire home/apt",3,125,88
"115","Upper West Side","Manhattan","Entire home/apt",2,150,100
"116","Prospect Heights","Brooklyn","Entire home/apt",4,121,70
"117","East Harlem","Manhattan","Private room",2,79,95
"118","West Village","Manhattan","Entire home/apt",2,200,98
"119","Williamsburg","Brooklyn","Entire home/apt",2,125,88
"120","Chelsea","Manhattan","Entire home/apt",4,125,99
"121","East Village","Manhattan","Entire home/apt",4,171,90
"122","Upper East Side","Manhattan","Entire home/apt",2,152,95
"123","Boerum Hill","Brooklyn","Entire home/apt",13,650,93
"124","Upper East Side","Manhattan","Entire home/apt",4,99,83
"125","Williamsburg","Brooklyn","Private room",2,89,96
"126","Hell's Kitchen","Manhattan","Private room",2,139,97
"127","Upper West Side","Manhattan","Private room",2,123,91
"128","Sunnyside","Queens","Private room",1,79,98
"129","Bedford-Stuyvesant","Brooklyn","Entire home/apt",4,135,94
"130","Upper East Side","Manhattan","Entire home/apt",1,250,100
"131","Harlem","Manhattan","Entire home/apt",4,80,80
"132","Lower East Side","Manhattan","Entire home/apt",4,450,95
"133","Carroll Gardens","Brooklyn","Entire home/apt",2,125,92
"134","St. George","Staten Island","Private room",2,70,96
