,neighbourhood,Boroughs,accommodates,price,review_scores_rating
1,Allerton,Bronx,3.97222222222222,99.9722222222222,93.3055555555556
2,Baychester,Bronx,2.28571428571429,75.7142857142857,93.2857142857143
3,Belmont,Bronx,2.30769230769231,60.1207692307692,98
4,Bronxdale,Bronx,2.4,61.1333333333333,92.9333333333333
5,Castle Hill,Bronx,3.66666666666667,91,93.6666666666667
6,City Island,Bronx,3.07692307692308,114,98.2307692307692
7,Claremont Village,Bronx,3.05263157894737,82.6315789473684,95
8,Clason Point,Bronx,3,83.7784210526316,96.8947368421053
9,Co-op City,Bronx,2,61.3333333333333,96.6666666666667
10,Concourse,Bronx,3,84.1927906976744,93.6046511627907
11,Concourse Village,Bronx,2.5,68.9666666666667,91.4
12,East Morrisania,Bronx,2.30769230769231,90.3076923076923,97.0769230769231
13,Eastchester,Bronx,3.88888888888889,119.777777777778,96.4444444444444
14,Edenwald,Bronx,3.09090909090909,100.493636363636,95.6363636363636
15,Fieldston,Bronx,2.57142857142857,70.4285714285714,95.7142857142857
16,Fordham,Bronx,2.93333333333333,73.3333333333333,92.9333333333333
17,Highbridge,Bronx,3.53846153846154,78.4615384615385,91
18,Hunts Point,Bronx,2,50.6190476190476,94.1904761904762
19,Kingsbridge,Bronx,2.56603773584906,87.3530188679245,92.9433962264151
20,Longwood,Bronx,2.68085106382979,83.6625531914894,92.936170212766
21,Melrose,Bronx,2.42857142857143,60.5714285714286,96.2857142857143
22,Morris Heights,Bronx,3.23529411764706,77.7394117647059,92.3529411764706
23,Morris Park,Bronx,1.83333333333333,76.6666666666667,94.2222222222222
24,Morrisania,Bronx,2.55555555555556,73.2777777777778,89.7777777777778
25,Mott Haven,Bronx,2.93877551020408,86.2389795918367,93.8979591836735
26,Mount Eden,Bronx,2.33333333333333,77.0466666666667,98.6666666666667
27,Mount Hope,Bronx,3.92,90.72,89.04
28,North Riverdale,Bronx,4,110.666666666667,96.6666666666667
29,Norwood,Bronx,1.96296296296296,64.6614814814815,93.1851851851852
30,Olinville,Bronx,1.8,62.6,97.8
31,Parkchester,Bronx,2.48717948717949,75.8974358974359,94.2051282051282
32,Pelham Bay,Bronx,3.90909090909091,141,97.9090909090909
33,Pelham Gardens,Bronx,3.625,95.3454166666667,95.0416666666667
34,Port Morris,Bronx,2.61111111111111,88.2577777777778,89.6666666666667
35,Riverdale,Bronx,3.71428571428571,245.142857142857,93
36,Schuylerville,Bronx,2.16666666666667,57.9166666666667,97.25
37,Soundview,Bronx,2.45454545454545,58.4672727272727,96.5454545454545
38,Spuyten Duyvil,Bronx,4.5,114.285,91.5
39,Throgs Neck,Bronx,2.95833333333333,100.488333333333,91.7916666666667
40,Tremont,Bronx,1.86666666666667,67.7333333333333,96.0666666666667
41,Unionport,Bronx,4.875,166.3925,86
42,University Heights,Bronx,2.1,53.6,92.05
43,Van Nest,Bronx,2.22222222222222,51.8888888888889,96.4444444444444
44,Wakefield,Bronx,3.05172413793103,108.34724137931,94
45,West Farms,Bronx,2,70,44.3333333333333
46,Westchester Square,Bronx,2.375,80.5,96
47,Williamsbridge,Bronx,3.21212121212121,97.6363636363636,95.1818181818182
48,Woodlawn,Bronx,2.75,68.32125,95
49,Bath Beach,Brooklyn,2.4,73.3333333333333,96.8666666666667
50,Bay Ridge,Brooklyn,2.83478260869565,90.6385217391304,95.2695652173913
51,Bedford-Stuyvesant,Brooklyn,2.99580792682927,103.512442835366,93.6650152439024
52,Bensonhurst,Brooklyn,3.15384615384615,80.6621153846154,92.9230769230769
53,Bergen Beach,Brooklyn,3.27272727272727,122.090909090909,93.0909090909091
54,Boerum Hill,Brooklyn,3.35555555555556,182.105777777778,96.6296296296296
55,Borough Park,Brooklyn,2.42528735632184,66.0919540229885,89.2873563218391
56,Brighton Beach,Brooklyn,2.83636363636364,126.433818181818,95.5272727272727
57,Brooklyn Heights,Brooklyn,2.99074074074074,170.256574074074,95.7037037037037
58,Brownsville,Brooklyn,2.98360655737705,85.3818032786885,92.655737704918
59,Bushwick,Brooklyn,2.56953223767383,82.7622439949431,93.0309734513274
60,Canarsie,Brooklyn,3.44604316546763,97.6865467625899,93.7841726618705
61,Carroll Gardens,Brooklyn,3.32571428571429,171.550171428571,96.2171428571429
62,Clinton Hill,Brooklyn,2.97149643705463,140.751947743468,95.29216152019
63,Cobble Hill,Brooklyn,2.98717948717949,173.230769230769,96.6666666666667
64,Columbia St,Brooklyn,3.3030303030303,150.272727272727,96.2424242424242
65,Coney Island,Brooklyn,3.81818181818182,92.3636363636364,94.3636363636364
66,Crown Heights,Brooklyn,3.07853881278539,108.372858447489,94.4913242009132
67,Cypress Hills,Brooklyn,2.92173913043478,83.6124347826087,91.3652173913043
68,Downtown Brooklyn,Brooklyn,2.71111111111111,137.733333333333,95.5333333333333
69,DUMBO,Brooklyn,2.9047619047619,179.775714285714,93.2380952380952
70,Dyker Heights,Brooklyn,2.8,90.9526666666667,94.1333333333333
71,East Flatbush,Brooklyn,2.83206106870229,88.2278880407125,93.295165394402
72,East New York,Brooklyn,3.38805970149254,99.5436815920398,91.6318407960199
73,Flatbush,Brooklyn,2.83218390804598,90.4768505747126,94.3218390804598
74,Flatlands,Brooklyn,3.22222222222222,97.0820634920635,90.3333333333333
75,Fort Greene,Brooklyn,3.05740181268882,148.979728096677,95.8247734138973
76,Fort Hamilton,Brooklyn,3.13157894736842,103.473684210526,94.7105263157895
77,Gowanus,Brooklyn,3.31491712707182,162.71408839779,94.8232044198895
78,Gravesend,Brooklyn,2.93617021276596,82.2795744680851,90.0212765957447
79,Greenpoint,Brooklyn,2.70833333333333,125.193534946237,95.6209677419355
80,Kensington,Brooklyn,2.76068376068376,100.871794871795,94.6239316239316
81,Manhattan Beach,Brooklyn,3.3,121.314,91.3
82,Midwood,Brooklyn,2.80555555555556,77.6527777777778,93.8611111111111
83,Mill Basin,Brooklyn,3,108.125,95.625
84,Navy Yard,Brooklyn,2.625,108.25,96
85,Park Slope,Brooklyn,3.34072022160665,162.572216066482,95.9916897506925
86,Prospect Heights,Brooklyn,2.87265917602996,140.250411985019,96.0149812734082
87,Prospect-Lefferts Gardens,Brooklyn,3.13086419753086,101.81375308642,94.9604938271605
88,Red Hook,Brooklyn,3.29032258064516,149.774193548387,96.3225806451613
89,Sea Gate,Brooklyn,4.125,158.75,97
90,Sheepshead Bay,Brooklyn,3.16279069767442,91.5697674418605,95.3372093023256
91,South Slope,Brooklyn,3.44927536231884,145.501014492754,96.3719806763285
92,Sunset Park,Brooklyn,2.89236111111111,94.4478819444444,95.0520833333333
93,Vinegar Hill,Brooklyn,3.47619047619048,213.571428571429,92.9523809523809
94,Williamsburg,Brooklyn,2.60069578662543,129.874429841515,95.1032083494395
95,Windsor Terrace,Brooklyn,3.21428571428571,113.753839285714,96.1875
96,Battery Park City,Manhattan,2.55555555555556,216.222222222222,94.3055555555556
97,Chelsea,Manhattan,2.75378787878788,189.74422979798,93.3371212121212
98,Chinatown,Manhattan,2.50169491525424,137.345728813559,92.735593220339
99,Civic Center,Manhattan,3.08695652173913,150.583913043478,93.5652173913043
100,East Harlem,Manhattan,2.85549872122762,114.137723785166,92.8312020460358
101,East Village,Manhattan,2.53153153153153,152.310171990172,93.990171990172
102,Financial District,Manhattan,2.75352112676056,174.849577464789,93.6267605633803
103,Flatiron District,Manhattan,3.33333333333333,226.1875,93.9375
104,Gramercy,Manhattan,2.54666666666667,160.379688888889,93.9555555555555
105,Greenwich Village,Manhattan,2.57201646090535,187.061111111111,94.320987654321
106,Harlem,Manhattan,2.7563372995344,110.419436109674,94.0201758923952
107,Hell's Kitchen,Manhattan,2.89984350547731,165.855625978091,92.5242566510172
108,Inwood,Manhattan,2.58823529411765,79.5865882352941,93.8117647058824
109,Kips Bay,Manhattan,2.95454545454545,163.375664335664,92.1258741258741
110,Little Italy,Manhattan,3.13861386138614,175.52900990099,95.3366336633663
111,Lower East Side,Manhattan,2.63987138263666,150.761366559486,93.1093247588424
112,Marble Hill,Manhattan,3.18181818181818,92.9354545454545,97.3636363636364
113,Midtown,Manhattan,3.27076923076923,215.156964102564,92.0666666666667
114,Morningside Heights,Manhattan,2.46153846153846,104.151105769231,93.7788461538462
115,Murray Hill,Manhattan,3.14716981132075,164.811358490566,92.3471698113208
116,NoHo,Manhattan,3.09259259259259,255.349259259259,94.9074074074074
117,Nolita,Manhattan,2.43352601156069,172.218786127168,93.6184971098266
118,Roosevelt Island,Manhattan,2.04545454545455,89.9090909090909,90.2424242424242
119,SoHo,Manhattan,2.59426229508197,239.074959016393,94.6229508196721
120,Stuyvesant Town,Manhattan,2.48,125.88,88.96
121,Theater District,Manhattan,2.52095808383234,191.999161676647,89.814371257485
122,Tribeca,Manhattan,3.24038461538462,279.480769230769,93.6346153846154
123,Two Bridges,Manhattan,2.2,110.7342,93.08
124,Upper East Side,Manhattan,2.71465517241379,151.488551724138,94.0172413793103
125,Upper West Side,Manhattan,2.7974006116208,162.770160550459,93.6934250764526
126,Washington Heights,Manhattan,2.33738601823708,81.0499392097264,93.7492401215805
127,West Village,Manhattan,2.66279069767442,200.401162790698,95.1453488372093
128,Arverne,Queens,4.25352112676056,213.321971830986,94.4788732394366
129,Astoria,Queens,2.574568288854,95.528147566719,95.1365777080063
130,Bay Terrace,Queens,2.8,110.2,95.6
131,Bayside,Queens,2.875,100.71875,91.21875
132,Bayswater,Queens,2.73333333333333,99.0666666666667,92.5333333333333
133,Belle Harbor,Queens,3,208.8,98.6
134,Bellerose,Queens,3,89.75,95.125
135,Breezy Point,Queens,2,218,100
136,Briarwood,Queens,2.74074074074074,86.5185185185185,92.962962962963
137,Cambria Heights,Queens,2.8695652173913,105.173913043478,95.4347826086957
138,College Point,Queens,3.45454545454545,103.480454545455,96.2727272727273
139,Corona,Queens,1.82758620689655,52.7931034482759,94.6551724137931
140,Ditmars Steinway,Queens,2.68556701030928,90.6354639175258,95.0721649484536
141,Douglaston,Queens,2.25,147.125,98.375
142,East Elmhurst,Queens,3.23529411764706,80.1311176470588,94.4058823529412
143,Edgemere,Queens,2.55555555555556,91.4444444444444,93.5555555555556
144,Elmhurst,Queens,2.31313131313131,63.5425252525253,90.3939393939394
145,Far Rockaway,Queens,3.88461538461538,114.126538461538,85.8461538461538
146,Flushing,Queens,2.86470588235294,84.5861470588235,92.5970588235294
147,Forest Hills,Queens,3.04705882352941,99.0891764705882,92.5529411764706
148,Fresh Meadows,Queens,3.03846153846154,97.1538461538462,96.1153846153846
149,Glendale,Queens,2.3,58.78225,91.9
150,Hollis,Queens,2.33333333333333,80,95.6666666666667
151,Holliswood,Queens,6.5,232,92.5
152,Howard Beach,Queens,4,153.462352941176,95.1764705882353
153,Jackson Heights,Queens,2.32903225806452,76.1069032258064,94.3032258064516
154,Jamaica,Queens,3.23181818181818,90.3435,93.0272727272727
155,Jamaica Estates,Queens,5.06666666666667,154.152666666667,95.7333333333333
156,Jamaica Hills,Queens,3.2,86.2,95.8
157,Kew Gardens,Queens,2.63157894736842,101,95.3684210526316
158,Kew Gardens Hills,Queens,3,96.2595454545455,90.9545454545455
159,Laurelton,Queens,3,101.103448275862,92.9310344827586
160,Little Neck,Queens,2,79,99
161,Long Island City,Queens,2.77777777777778,117.130514905149,93.4986449864499
162,Maspeth,Queens,2.80612244897959,84.0918367346939,94.3163265306122
163,Middle Village,Queens,4.32258064516129,125.225806451613,91.3225806451613
164,Neponsit,Queens,5.5,275,98.5
165,Ozone Park,Queens,3.12820512820513,86.9597435897436,94.7692307692308
166,Queens Village,Queens,3.12244897959184,94.8863265306123,94.265306122449
167,Rego Park,Queens,3.51282051282051,93.1794871794872,86.974358974359
168,Richmond Hill,Queens,3.11267605633803,84.3239436619718,94.2816901408451
169,Ridgewood,Queens,2.71653543307087,86.7362204724409,94.1889763779528
170,Rockaway Beach,Queens,3.47368421052632,152.666666666667,97.5087719298246
171,Rosedale,Queens,2.94915254237288,81.5762711864407,89.5254237288136
172,South Ozone Park,Queens,3.125,91.526875,93.3125
173,Springfield Gardens,Queens,3.58904109589041,107.097808219178,92.6301369863014
174,St. Albans,Queens,3.05714285714286,95.1898571428572,93.9714285714286
175,Sunnyside,Queens,2.38571428571429,80.2925357142857,94.15
176,Whitestone,Queens,4,148.25,97.25
177,Woodhaven,Queens,2.49367088607595,69.6003797468354,94.5316455696203
178,Woodside,Queens,2.29411764705882,70.3876470588235,91.9313725490196
179,Arden Heights,Staten Island,3.5,102.75,91
180,Arrochar,Staten Island,3.66666666666667,123.5,95.7777777777778
181,"Bay Terrace, Staten Island",Staten Island,2,40,100
182,Bull's Head,Staten Island,3.66666666666667,49.6666666666667,96.3333333333333
183,Castleton Corners,Staten Island,5,159,99
184,Clifton,Staten Island,4.1,91.2,90.7
185,Concord,Staten Island,2.75,81.875,94.5
186,Dongan Hills,Staten Island,4.6,119.4,96.8
187,Eltingville,Staten Island,3,72,98
188,Emerson Hill,Staten Island,2.33333333333333,61.3333333333333,97
189,Graniteville,Staten Island,4,78,97.5
190,Grant City,Staten Island,2.33333333333333,74.1666666666667,96
191,Great Kills,Staten Island,2.66666666666667,68.3333333333333,94
192,Grymes Hill,Staten Island,4.625,136.375,95.25
193,Howland Hook,Staten Island,4,144.666666666667,87
194,Huguenot,Staten Island,4,180,97
195,Lighthouse Hill,Staten Island,3,147.5,92.5
196,Mariners Harbor,Staten Island,2.75,76.25,90.625
197,Midland Beach,Staten Island,2.4,108.8,98.2
198,New Brighton,Staten Island,2.33333333333333,58.6666666666667,98
199,New Dorp,Staten Island,6,175,100
200,New Dorp Beach,Staten Island,3.25,82,94.25
201,New Springville,Staten Island,2.75,85,92.5
202,Oakwood,Staten Island,3.5,99.25,96.25
203,Port Richmond,Staten Island,2.5,53.75,90.5
204,Prince's Bay,Staten Island,3,145,98
205,Randall Manor,Staten Island,2.8,76.086,97.1
206,Richmondtown,Staten Island,1.66666666666667,77,87.3333333333333
207,Rosebank,Staten Island,4,123.25,97.25
208,Rossville,Staten Island,4,60.29,99
209,Shore Acres,Staten Island,3.66666666666667,102.166666666667,94.3333333333333
210,Silver Lake,Staten Island,4.25,81.25,87.25
211,South Beach,Staten Island,1.33333333333333,58.3333333333333,92
212,St. George,Staten Island,3.925,99.28925,96.175
213,Stapleton,Staten Island,5,106.058823529412,96.0588235294118
214,Todt Hill,Staten Island,5,227.666666666667,94.6666666666667
215,Tompkinsville,Staten Island,3.30555555555556,82.4047222222222,93.0555555555556
216,Tottenville,Staten Island,11,309,98
217,West Brighton,Staten Island,3,82.1764705882353,94.2352941176471
218,Westerleigh,Staten Island,5,130,100
219,Willowbrook,Staten Island,8,309,95
