id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
2539,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,6,365
2595,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2,355
3831,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,1,194
5022,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,1,0
5099,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,1,129
5121,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,1,0
5178,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,1,220
5203,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,1,0
5238,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,4,188
5295,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,1,6
5441,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1,39
5803,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,3,314
6021,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,1,333
6090,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,1,0
6848,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1,46
7097,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1,321
7322,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,1,12
7726,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,1,21
7801,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,1,0
8024,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,6,347
8025,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,6,364
8110,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,6,304
8490,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,2,233
8505,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,2,85
9357,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,1,75
9518,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,3,311
9657,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,1,67
9668,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,3,355
9704,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1,255
9782,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,3,284
9783,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,3,359
10452,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,2,269
10962,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,3,340
11708,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,2,22
12048,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,4,188
12192,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2,96
