year,month,day,price
2020,1,1,139.792961256037
2020,1,2,138.973325103062
2020,1,3,136.082584368667
2020,1,4,135.048169684155
2020,1,5,134.708701301561
2020,1,6,134.621027594864
2020,1,7,134.502653658966
2020,1,8,136.402441442831
2020,1,9,136.45361597109
2020,1,10,134.345547432397
2020,1,11,134.275467958599
2020,1,12,134.323401818943
2020,1,13,134.312831692762
2020,1,14,134.598379247319
2020,1,15,136.533656494436
2020,1,16,136.635163721299
2020,1,17,134.638325515844
2020,1,18,134.597463225579
2020,1,19,134.613036776041
2020,1,20,134.592635821093
2020,1,21,134.581435807091
2020,1,22,136.528809077889
2020,1,23,136.582543739809
2020,1,24,134.63697423475
2020,1,25,134.625985465756
2020,1,26,134.612548725967
2020,1,27,134.631224260577
2020,1,28,134.649533121917
2020,1,29,136.611149058059
2020,1,30,136.62108858528
2020,1,31,134.660603391323
2020,2,1,134.655479949792
2020,2,2,134.713102840784
2020,2,3,134.724317896545
2020,2,4,134.703684129396
2020,2,5,136.742250324969
2020,2,6,136.752038253052
2020,2,7,134.694098216252
2020,2,8,134.681604968178
2020,2,9,134.751943447334
2020,2,10,134.744103591799
2020,2,11,134.737651126429
2020,2,12,136.902538451368
2020,2,13,137.037132531183
2020,2,14,134.951196952012
2020,2,15,134.842487776946
2020,2,16,134.824865102962
2020,2,17,134.773086664464
2020,2,18,134.763126596776
2020,2,19,136.724117413725
2020,2,20,136.768930712271
2020,2,21,134.687186151
2020,2,22,134.680990242935
2020,2,23,134.743056626214
2020,2,24,134.742550051759
2020,2,25,134.758264508314
2020,2,26,136.781480012341
2020,2,27,136.879936530324
2020,2,28,134.84552702286
2020,3,1,135.360739141926
2020,3,2,135.498986873403
2020,3,3,135.596797638975
2020,3,4,135.544643643732
2020,3,5,137.523505168272
2020,3,6,137.777407978841
2020,3,7,136.006387102458
2020,3,8,136.127367632808
2020,3,9,136.187418779322
2020,3,10,136.188656387665
2020,3,11,136.162331226184
2020,3,12,138.006215697944
2020,3,13,138.131571406529
2020,3,14,136.096163164618
2020,3,15,136.209841192925
2020,3,16,136.327342011939
2020,3,17,136.336152778696
2020,3,18,136.32563876652
2020,3,19,138.19407952742
2020,3,20,138.333502325479
2020,3,21,136.246007797185
2020,3,22,136.349471365639
2020,3,23,136.475538031147
2020,3,24,136.521135757869
2020,3,25,136.525881057269
2020,3,26,138.405590089494
2020,3,27,138.622404443857
2020,3,28,136.477368339904
2020,3,29,136.620674464195
2020,3,30,136.827833825279
2020,3,31,136.856312091107
2020,4,1,137.930832433861
2020,4,2,139.784745949521
2020,4,3,139.890030198162
2020,4,4,137.632987510738
2020,4,5,137.684297484249
2020,4,6,137.861520498755
2020,4,7,137.872469323464
2020,4,8,137.816759924219
2020,4,9,139.715926374959
2020,4,10,139.807331966581
2020,4,11,137.569955947137
2020,4,12,137.704643580932
2020,4,13,137.904328670558
2020,4,14,137.912238963785
2020,4,15,137.918628984294
2020,4,16,139.726605383242
2020,4,17,139.75930335097
2020,4,18,137.654052863436
2020,4,19,137.722580787277
2020,4,20,137.892234827624
2020,4,21,137.941909901972
2020,4,22,137.89807472024
2020,4,23,139.672082359684
2020,4,24,139.770823228537
2020,4,25,137.67964671938
2020,4,26,137.786299559471
2020,4,27,138.052556223705
2020,4,28,138.131789946694
2020,4,29,138.06165741475
2020,4,30,139.916420542208
2020,5,1,140.032496307238
2020,5,2,137.874914634415
2020,5,3,138.039611376705
2020,5,4,138.208834545054
2020,5,5,138.218687347155
2020,5,6,138.10905726057
2020,5,7,139.874374407478
2020,5,8,139.927350898468
2020,5,9,137.896882916621
2020,5,10,138.076931550307
2020,5,11,138.322192601732
2020,5,12,138.371565797881
2020,5,13,138.244150693985
2020,5,14,139.978878673634
2020,5,15,140.126000396852
2020,5,16,138.041459223686
2020,5,17,138.305457028926
2020,5,18,138.512425644415
2020,5,19,138.462292625967
2020,5,20,138.245483785689
2020,5,21,139.990872814656
2020,5,22,140.079572263257
2020,5,23,137.90152883641
2020,5,24,137.994513364035
2020,5,25,138.144106824141
2020,5,26,138.147544234625
2020,5,27,138.057579163086
2020,5,28,139.934553472988
2020,5,29,140.033718519825
2020,5,30,137.930699396236
2020,5,31,137.913301165532
2020,6,1,138.197360303191
2020,6,2,138.249564815019
2020,6,3,138.230092980214
2020,6,4,139.990937754945
2020,6,5,140.090055126792
2020,6,6,138.092455490922
2020,6,7,138.219425649615
2020,6,8,138.300647976726
2020,6,9,138.286564400952
2020,6,10,138.178009432715
2020,6,11,140.015657735142
2020,6,12,140.075776287932
2020,6,13,137.981311294766
2020,6,14,138.05958965996
2020,6,15,138.153210341863
2020,6,16,138.185805598413
2020,6,17,138.101494313674
2020,6,18,139.878586709601
2020,6,19,139.976399488288
2020,6,20,137.989046590558
2020,6,21,138.031671515472
2020,6,22,138.14367892092
2020,6,23,138.150577448647
2020,6,24,138.09572193692
2020,6,25,139.986899274387
2020,6,26,140.027195729851
2020,6,27,137.955499228565
2020,6,28,137.977232654501
2020,6,29,138.016508342333
2020,6,30,138.033369332834
2020,7,1,138.162771727148
2020,7,2,139.840175694169
2020,7,3,139.855462110677
2020,7,4,138.001587686608
2020,7,5,138.08675617876
2020,7,6,138.129059282612
2020,7,7,138.140633611852
2020,7,8,138.129585537919
2020,7,9,139.868549365692
2020,7,10,139.918343482482
2020,7,11,137.978769373223
2020,7,12,138.000330687831
2020,7,13,138.112193831434
2020,7,14,138.117242443616
2020,7,15,138.051390021826
2020,7,16,139.849777169836
2020,7,17,139.905945945946
2020,7,18,137.918013271312
2020,7,19,137.922597001764
2020,7,20,138.152601410935
2020,7,21,138.167372134039
2020,7,22,138.105443001697
2020,7,23,139.869147950404
2020,7,24,139.838944535145
2020,7,25,137.893474426808
2020,7,26,137.90619695333
2020,7,27,138.129541446208
2020,7,28,138.174334780979
2020,7,29,138.180727938097
2020,7,30,139.961037814941
2020,7,31,140.039646119225
2020,8,1,138.240002645386
2020,8,2,138.427362109254
2020,8,3,138.499283525495
2020,8,4,138.468650793651
2020,8,5,138.490807283629
2020,8,6,140.262145347041
2020,8,7,140.332215505449
2020,8,8,138.372324243293
2020,8,9,138.440444434647
2020,8,10,138.458818342152
2020,8,11,138.445081352793
2020,8,12,138.49176605454
2020,8,13,140.281922873279
2020,8,14,140.325868725869
2020,8,15,138.341806477215
2020,8,16,138.341820987654
2020,8,17,138.357344445914
2020,8,18,138.371786391498
2020,8,19,138.369735855713
2020,8,20,140.198848216059
2020,8,21,140.289496910856
2020,8,22,138.20764328401
2020,8,23,138.212022315817
2020,8,24,138.266302070699
2020,8,25,138.27282349828
2020,8,26,138.272669136456
2020,8,27,140.15787034994
2020,8,28,140.224232661797
2020,8,29,138.266875427261
2020,8,30,138.244768352114
2020,8,31,138.251675928376
2020,9,7,124.552152099287
2020,9,8,138.342183831415
2020,9,9,131.560569705241
2020,9,10,131.68318400951
2020,9,11,134.021190827588
2020,9,12,134.129909898002
2020,9,13,131.802152809879
2020,9,14,131.828509167749
2020,9,15,131.98828916087
2020,9,16,132.128467024742
2020,9,17,132.163064054589
2020,9,18,134.360250225776
2020,9,19,134.594638648428
2020,9,20,132.20682368479
2020,9,21,132.309786915559
2020,9,22,132.391625941091
2020,9,23,132.423514649878
2020,9,24,132.406137184116
2020,9,25,134.56657928938
2020,9,26,134.702185310834
2020,9,27,132.33281236242
2020,9,28,132.164487298023
2020,9,29,132.361517126002
2020,9,30,132.405243577608
2020,9,1,138.378063576802
2020,9,2,138.377798857294
2020,9,3,140.280476768569
2020,9,4,140.425992142321
2020,9,5,137.097597001764
2020,9,6,137.034257748776
2020,9,7,137.818459393182
2020,9,8,113.319666182874
2020,10,1,133.323096904856
2020,10,2,135.587709251101
2020,10,3,135.775893211155
2020,10,4,133.44491646673
2020,10,5,133.384784714273
2020,10,6,133.511259823453
2020,10,7,133.610165760451
2020,10,8,133.761111233407
2020,10,9,136.072090923107
2020,10,10,136.34696799489
2020,10,11,133.84307380748
2020,10,12,133.64940896784
2020,10,13,133.890664553479
2020,10,14,133.953331719022
2020,10,15,133.938492019813
2020,10,16,136.113994316805
2020,10,17,136.332114456902
2020,10,18,133.810851860004
2020,10,19,133.810993462038
2020,10,20,133.961014374711
2020,10,21,133.949567437867
2020,10,22,133.955641166758
2020,10,23,136.128114192568
2020,10,24,136.357630628249
2020,10,25,133.8972287645
2020,10,26,133.836536133307
2020,10,27,133.895722808022
2020,10,28,133.850941111723
2020,10,29,134.030269675289
2020,10,30,136.485042076045
2020,10,31,136.812420143631
2020,11,1,134.167639350761
2020,11,2,134.007267121779
2020,11,3,134.003060932373
2020,11,4,134.048267054212
2020,11,5,134.031444048091
2020,11,6,136.215889312388
2020,11,7,136.465797184464
2020,11,8,133.862732577342
2020,11,9,133.827722118243
2020,11,10,133.947041596019
2020,11,11,133.963007002246
2020,11,12,133.936254541451
2020,11,13,136.068097199885
2020,11,14,136.283807005948
2020,11,15,133.734124537608
2020,11,16,133.727887261918
2020,11,17,133.818914455576
2020,11,18,133.913640867555
2020,11,19,133.958119564021
2020,11,20,136.128026614378
2020,11,21,136.288937360918
2020,11,22,134.037036221513
2020,11,23,134.095567348557
2020,11,24,134.251431339734
2020,11,25,135.021848295304
2020,11,26,135.228767817409
2020,11,27,137.184392630465
2020,11,28,137.081052492397
2020,11,29,134.549310663789
2020,11,30,134.248497126374
2020,12,1,135.001211293662
2020,12,2,135.23039312851
2020,12,3,135.311514404017
2020,12,4,137.365826244105
2020,12,5,137.45936831897
2020,12,6,134.679968287526
2020,12,7,134.915712272047
2020,12,8,135.095033586609
2020,12,9,135.117126244384
2020,12,10,134.984649267702
2020,12,11,137.008066115702
2020,12,12,137.119385551197
2020,12,13,134.382113284003
2020,12,14,134.320177950051
2020,12,15,134.321279126107
2020,12,16,134.355599603568
2020,12,17,134.424147652189
2020,12,18,136.72211203667
2020,12,19,137.043461012915
2020,12,20,134.982864191005
2020,12,21,135.287303405436
2020,12,22,135.31783936203
2020,12,23,135.852059925094
2020,12,24,136.555851884505
2020,12,25,138.699468612881
2020,12,26,138.941262071703
2020,12,27,137.0224102598
2020,12,28,137.491472014103
2020,12,29,137.907740456669
2020,12,30,138.893259541816
2020,12,31,141.420873786408
