,neighbourhood,neighbourhood_group,id,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,Allerton,Bronx,20077286.4761905,40.8652916666667,-73.8587271428571,87.5952380952381,2.21428571428571,42.9285714285714,2.76190476190476,163.666666666667
2,Arden Heights,Staten Island,29356194,40.55241,-74.1822525,67.25,9.5,7.75,1,94.25
3,Arrochar,Staten Island,21800183.45,40.594044,-74.074988,118.25,2.55,15.35,4.2,259.15
4,Arverne,Queens,21294997.4545455,40.591852987013,-73.7948390909091,171.779220779221,1.64935064935065,29.2597402597403,1.66233766233766,188.428571428571
5,Astoria,Queens,19133324.0751964,40.7643011223345,-73.9200012233446,117.240179573513,6.00897867564534,21.672278338945,2.79012345679012,110.092031425365
6,Bath Beach,Brooklyn,25550879.7647059,40.6041341176471,-74.0063741176471,81.7647058823529,2.47058823529412,21.3529411764706,1.52941176470588,196.117647058824
7,Battery Park City,Manhattan,19266360.8939394,40.7098957575758,-74.0166090909091,370.742424242424,16.9545454545455,8.78787878787879,9.95454545454546,100.924242424242
8,Bay Ridge,Brooklyn,22356226.8489209,40.6314751798561,-74.0262176978417,144.992805755396,10.1223021582734,18.8345323741007,1.86330935251799,143.453237410072
9,Bay Terrace,Queens,13437852.3333333,40.7806633333333,-73.78305,142,2.5,41.5,1.33333333333333,222.5
10,"Bay Terrace, Staten Island",Staten Island,26711700.5,40.551435,-74.140495,102.5,16.5,1.5,1,0
11,Baychester,Bronx,22155661.4285714,40.8736157142857,-73.8429671428571,75.4285714285714,2.42857142857143,44.2857142857143,1.71428571428571,157.857142857143
12,Bayside,Queens,23218355.0512821,40.7597761538462,-73.7686251282051,157.948717948718,4.17948717948718,23.7948717948718,2.02564102564103,189.923076923077
13,Bayswater,Bronx,26898735.8235294,40.6057182352941,-73.7625823529412,87.4705882352941,5.17647058823529,11.2352941176471,1.29411764705882,207.352941176471
14,Bedford-Stuyvesant,Brooklyn,19281768.765088,40.6871878619756,-73.939810435724,107.590527740189,5.68416779431664,29.8652232746955,2.61569688768606,116.617050067659
15,Belle Harbor,Queens,25198154,40.57615125,-73.849045,171.5,1.75,9.25,1.25,186.625
16,Bellerose,Queens,24860115.3846154,40.7310484615385,-73.7249792307692,95.4615384615385,1.76923076923077,9.07692307692308,1.46153846153846,233.461538461538
17,Belmont,Bronx,26903165.2916667,40.8550616666667,-73.88710875,77.125,3.375,12.3333333333333,1.58333333333333,187.666666666667
18,Bensonhurst,Brooklyn,20806152.7972973,40.6122240540541,-73.993955,76.2702702702703,5.02702702702703,24.9324324324324,2,136.662162162162
19,Bergen Beach,Brooklyn,23179268.4,40.623371,-73.909206,106.7,6.1,20.5,1.1,138.2
20,Boerum Hill,Brooklyn,15697605.6034483,40.686391954023,-73.9854594827586,167.333333333333,7.82758620689655,24.683908045977,2.17241379310345,76.367816091954
21,Borough Park,Brooklyn,25041775.9253731,40.6373387313433,-73.9970673134328,62.8731343283582,3.19402985074627,16.6567164179104,4.08208955223881,169.492537313433
22,Breezy Point,Queens,30141013.3333333,40.56573,-73.8699033333333,213.333333333333,1,1.66666666666667,1.66666666666667,100.333333333333
23,Briarwood,Queens,22251683.3035714,40.7097551785714,-73.8138139285714,105.875,1.89285714285714,22.2678571428571,4.28571428571429,177.928571428571
24,Brighton Beach,Brooklyn,23283636.2,40.5784129333333,-73.9612993333333,131.933333333333,4.52,17.96,1.86666666666667,170.866666666667
25,Bronxdale,Bronx,21904732.7368421,40.8547310526316,-73.8662873684211,57.1052631578947,2.89473684210526,24.1052631578947,1.10526315789474,145.421052631579
26,Brooklyn Heights,Brooklyn,17156506.218543,40.694779602649,-73.9943362913907,201.860927152318,6.44370860927152,16.9205298013245,1.0794701986755,64.9337748344371
27,Brownsville,Brooklyn,21418268.4590164,40.6646742622951,-73.9142142622951,76.4590163934426,2.67213114754098,31.344262295082,2.29508196721311,121.327868852459
28,Bull's Head,Staten Island,29327811.6666667,40.60115,-74.1663716666667,47.3333333333333,12.1666666666667,15.3333333333333,2.33333333333333,165.666666666667
29,Bushwick,Brooklyn,20339765.4288046,40.6967242023664,-73.9203750509996,84.3035495716034,5.85842513259894,21.3219094247246,2.59608323133415,95.8310893512852
30,Cambria Heights,Queens,25152331.0833333,40.6939270833333,-73.73612,84.375,2.125,20.2083333333333,1.41666666666667,125.708333333333
