,Room Type,Neighbourhood,Neighbourhood Group,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,Entire home/apt,Allerton,Bronx,40.86576,-73.859011875,123.0625,2.25,54,2.4375,193.9375
2,Private room,Allerton,Bronx,40.8650034615385,-73.8585519230769,65.7692307692308,2.19230769230769,36.1153846153846,2.96153846153846,145.038461538462
3,Entire home/apt,Baychester,Bronx,40.87117,-73.8423533333333,90.3333333333333,3,95.3333333333333,1.66666666666667,103
4,Private room,Baychester,Bronx,40.87545,-73.8434275,64.25,2,6,1.75,199
5,Entire home/apt,Belmont,Bronx,40.8532366666667,-73.89207,228.666666666667,1.66666666666667,32,2.33333333333333,311.666666666667
6,Private room,Belmont,Bronx,40.855167368421,-73.8861431578947,52.9473684210526,3.89473684210526,10.4210526315789,1.47368421052632,169
7,Shared room,Belmont,Bronx,40.856795,-73.88884,79.5,1,1,1.5,179
8,Entire home/apt,Bronxdale,Bronx,40.85421125,-73.8662675,77.5,3.75,8.875,1,60
9,Private room,Bronxdale,Bronx,40.85502,-73.866227,40.8,2.4,38.3,1.2,194.3
10,Shared room,Bronxdale,Bronx,40.856,-73.86705,57,1,4,1,340
11,Entire home/apt,Castle Hill,Bronx,40.8177825,-73.8474575,93.5,2.5,29.5,4,137.25
12,Private room,Castle Hill,Bronx,40.816174,-73.846634,38.6,2.2,0,7,177
13,Entire home/apt,City Island,Bronx,40.8497218181818,-73.7876909090909,235.272727272727,1.90909090909091,56.8181818181818,1.54545454545455,97
14,Private room,City Island,Bronx,40.8449657142857,-73.7860542857143,75.1428571428571,2.28571428571429,19.1428571428571,1.28571428571429,185
15,Entire home/apt,Claremont Village,Bronx,40.83808125,-73.9101175,130.5,46.25,14.5,4.125,179.75
16,Private room,Claremont Village,Bronx,40.839627,-73.908943,70.25,2.8,11.7,1.45,179.65
17,Entire home/apt,Clason Point,Bronx,40.8111225,-73.85476125,171.75,2,27.5,2.5,208.75
18,Private room,Clason Point,Bronx,40.811376,-73.85649,81.9,2.3,6.3,3,233.2
19,Shared room,Clason Point,Bronx,40.815465,-73.867225,42.5,1,16.5,4,253
20,Private room,Co-op City,Bronx,40.864815,-73.82324,77.5,2.5,17,7,364
21,Entire home/apt,Concourse,Bronx,40.823278,-73.926769,116.65,3.6,42.05,1.25,139.15
22,Private room,Concourse,Bronx,40.829346,-73.9229363333333,65.8666666666667,1.93333333333333,26.7333333333333,1.56666666666667,173.966666666667
23,Entire home/apt,Concourse Village,Bronx,40.8294033333333,-73.9184544444444,109.555555555556,6.11111111111111,26,1,174
24,Private room,Concourse Village,Bronx,40.8301171428571,-73.9176923809524,60.4761904761905,2.19047619047619,27.1904761904762,1.33333333333333,168.52380952381
25,Shared room,Concourse Village,Bronx,40.832315,-73.91607,52.5,1,1,1,0
26,Entire home/apt,East Morrisania,Bronx,40.8306133333333,-73.8914833333333,126.666666666667,1,63.3333333333333,1.66666666666667,234.666666666667
27,Private room,East Morrisania,Bronx,40.8315357142857,-73.8877042857143,67.1428571428571,1.57142857142857,41.4285714285714,3.42857142857143,175.857142857143
