,Neighbourhood,Room,Freq,Count
1,Bronx,Entire home/apt,0.782863752788565,379
2,Brooklyn,Entire home/apt,19.5571345947286,9468
3,Manhattan,Entire home/apt,26.8631744195654,13005
4,Queens,Entire home/apt,4.30471783855242,2084
5,Staten Island,Entire home/apt,0.357349417499793,173
6,Bronx,Private room,1.34057671651657,649
7,Brooklyn,Private room,20.7407254399736,10041
8,Manhattan,Private room,16.3575146657853,7919
9,Queens,Private room,6.93836238949021,3359
10,Staten Island,Private room,0.386267867470875,187
11,Bronx,Shared room,0.123936214161778,60
12,Brooklyn,Shared room,0.84896306700818,411
13,Manhattan,Shared room,0.983227299016773,476
14,Queens,Shared room,0.39659588531769,192
15,Staten Island,Shared room,0.0185904321242667,9
